token_id,rarity_score,last_sale_price,price,priceUsd,preds,resids,abs_resids
3911,44.70131547431407,0.1871,0.267,1113.698090712786,1490.1306561474014,-376.4325654346153,376.4325654346153
8063,52.486038000328,0.0899,0.095,298.78935363962427,675.2092920082864,-376.41993836866214,376.41993836866214
4598,67.32744429323974,0.23,0.219,914.2184262030732,1290.1914514369082,-375.97302523383496,375.97302523383496
474,52.77400870186247,0.25,0.188,757.4928746469768,1133.2352891442135,-375.7424144972367,375.7424144972367
6626,57.65133535857089,0.27,0.24,1115.5701689009709,1491.239164305132,-375.668995404161,375.668995404161
4920,90.51769802267177,0.2,0.18,565.5932257234077,941.2296862420035,-375.63646051859575,375.63646051859575
2474,165.51467598698898,0.35,0.325,1511.4250637705914,1887.0427437079493,-375.61767993735793,375.61767993735793
3628,236.21463902674785,0.1945,0.23,633.581280784146,1009.1861520235278,-375.60487123938185,375.60487123938185
8025,42.45127027735541,0.2121,0.195,919.8366840336186,1294.7334912590395,-374.89680722542096,374.89680722542096
2405,31.011447460817955,0.185,0.185,870.9906431666832,1245.0280501937245,-374.03740702704135,374.03740702704135
8224,79.2504536851391,0.197,0.24,1127.841048690551,753.9649470319654,373.8761016585855,373.8761016585855
3118,119.53232746267054,0.59,0.6,1846.2258421366453,1472.3686735307,373.85716860594516,373.85716860594516
7451,50.33974341671363,0.05,0.068,267.5543698117796,641.3433925893421,-373.7890227775625,373.7890227775625
3715,130.27517745820847,0.165,0.169,530.4266998792464,903.7635715625273,-373.33687168328095,373.33687168328095
2144,135.13302669041616,0.199,0.198,897.8942633291641,1271.2139761086464,-373.3197127794823,373.3197127794823
1024,24.867964209446715,0.65,0.67,1944.3750569240967,1571.363004119071,373.01205280502563,373.01205280502563
4716,40.89305585850958,0.235,0.245,766.255648768703,1138.9992373099126,-372.74358854120953,372.74358854120953
1950,181.49926817725984,0.299,0.43999,2071.4982329022105,1699.1020482061206,372.3961846960899,372.3961846960899
6641,110.22001900344831,0.244,0.249,815.8454000119102,1188.1654723811641,-372.3200723692539,372.3200723692539
7985,61.35178516627359,1.4,1.09,2752.404420064115,3124.7173663914764,-372.31294632736126,372.31294632736126
2402,60.86952955735549,0.18,0.198,616.6938090786526,988.9552834291944,-372.2614743505418,372.2614743505418
5475,22.301247086326413,0.165,0.15,568.8976388298386,940.1685757549425,-371.2709369251039,371.2709369251039
3963,30.728401072113414,0.2465,0.22,886.8558855877187,1257.599692011001,-370.7438064232823,370.7438064232823
608,53.67096796506903,0.24,0.225,1038.4648245086232,1409.203406659867,-370.7385821512437,370.7385821512437
8088,39.67435734658126,0.28,0.287,820.1114818593107,1190.6623996269223,-370.5509177676115,370.5509177676115
3811,79.26510895522588,0.21,0.21,969.2338362080484,1339.783266875152,-370.5494306671037,370.5494306671037
7140,196.6550322192716,0.053,0.45,1646.4257723418457,2015.8733341618274,-369.44756181998173,369.44756181998173
3317,81.98033710617364,0.1756,0.197,896.8821851299664,1266.319397388532,-369.43721225856564,369.43721225856564
1209,76.57546760250538,0.59,0.5952,1725.588280590683,1356.187993904096,369.40028668658715,369.40028668658715
7812,82.03084541549285,0.209,0.2,941.611506126144,572.2376920255977,369.3738141005464,369.3738141005464
7310,23.05672818901626,0.2,0.199,898.4416807020976,1267.8055704269434,-369.36388972484576,369.36388972484576
933,22.87503784049157,0.25,0.24,772.4611730504043,1141.626453015113,-369.1652799647086,369.1652799647086
6744,125.44947288594042,0.31,0.3,727.4904287159137,1096.6404215443645,-369.14999282845076,369.14999282845076
5353,59.431133481646576,0.1845,0.185,806.8197447621404,1174.7641577089119,-367.9444129467714,367.9444129467714
2765,131.8920632481016,0.2,0.189,608.5662706654668,976.2279093531681,-367.66163868770127,367.66163868770127
2406,21.037261631978804,0.24,0.25,1177.01438265768,809.4276596085687,367.58672304911136,367.58672304911136
6913,40.80217083037485,0.777,0.789,2376.376801697873,2009.0303995561183,367.34640214175465,367.34640214175465
6979,53.866370174035296,0.7777777777777,0.75,2258.9133095987386,1891.842050895325,367.0712587034136,367.0712587034136
2614,43.13470135507671,0.235,0.188,890.5423876981259,1257.3776476039022,-366.8352599057763,366.8352599057763
9099,123.14670080054992,0.15,0.17,714.4232107725417,1081.1171667188278,-366.6939559462861,366.6939559462861
2566,135.3234384387415,0.345,0.289,826.5564076858385,1193.1450755899073,-366.58866790406876,366.58866790406876
1520,62.9379411304558,0.39,0.375,956.2211504695804,1322.4066761609297,-366.1855256913493,366.1855256913493
976,27.27783139926931,0.271,0.24,765.4932771715935,1131.599227592653,-366.10595042105956,366.10595042105956
7974,57.63967110925771,0.19,0.19,876.9258518072819,1242.9197982246546,-365.99394641737274,365.99394641737274
2721,106.65196841943734,0.17,0.1699,735.2488841368822,1100.5779018004769,-365.32901766359464,365.32901766359464
6153,43.8888097984752,0.185,0.2111,960.7213113888664,1325.128799199449,-364.40748781058267,364.40748781058267
9515,124.10287029616585,0.2222,0.22222,567.3392134447461,930.8307461916756,-363.4915327469296,363.4915327469296
2652,31.01955382099869,0.215,0.15,634.5202635150926,997.8508280971226,-363.3305645820301,363.3305645820301
561,241.25557545939705,0.18,0.3,1151.049288133128,787.8881953159415,363.1610928171864,363.1610928171864
2336,69.20436435038738,0.5,0.588,1707.9132730734432,1344.889729233868,363.02354383957527,363.02354383957527
9502,140.46708924764332,0.13,0.1489,574.4626522028153,937.1960096044295,-362.73335740161417,362.73335740161417
1984,46.34400314013443,0.199,0.2,869.6875162525038,1232.4191360929358,-362.731619840432,362.731619840432
6208,121.20903306044268,0.19,0.19,596.3377099234131,958.975917406734,-362.6382074833209,362.6382074833209
6130,48.71179786305619,0.25,0.22,909.4440722105364,1271.8234848228578,-362.3794126123214,362.3794126123214
5107,28.319059437103,0.4,0.344,839.3504974339759,1201.6939086523805,-362.34341121840464,362.34341121840464
8543,36.5718627902061,0.209,0.2,941.611506126144,1303.903330044757,-362.291823918613,362.291823918613
5680,39.012561586862674,0.292,0.299,939.171396716258,1301.2802775719786,-362.1088808557206,362.1088808557206
7921,26.577706903659564,0.33,0.295,710.6776785344705,1072.6653421590913,-361.98766362462084,361.98766362462084
2489,61.77689917049809,0.15,0.148,666.1559093229775,1027.9783863330495,-361.8224770100719,361.8224770100719
7249,124.03088056562748,0.375,0.29,1243.821652305938,882.0141729453526,361.8074793605854,361.8074793605854
