token_id,rarity_score,last_sale_price,price,priceUsd,predictions,residual,abs_residual
905,852.082798192815,3.0,50.0,132555.351359336,37402.6447814,95152.706577936,95152.706577936
904,3356.0677826310502,2.25,50.0,126373.80644239204,56605.946659223526,69767.85978316852,69767.85978316852
2983,473.91024385607386,3.4,22.0,55803.08568519407,19665.83732854736,36137.24835664671,36137.24835664671
4707,3442.3088191502648,0.22,3.5,16153.89727013414,46998.83165605049,-30844.93438591635,30844.93438591635
4657,127.16598383757965,7.99,20.0,50381.47894153657,20246.76884209266,30134.710099443906,30134.710099443906
2210,299.2956509334158,2.5,15.0,37845.70246692424,8481.979344135241,29363.723122788997,29363.723122788997
7161,363.4282129833736,2.3,15.98,40351.7638831418,13629.738576034166,26722.025307107637,26722.025307107637
372,477.5246449887949,1.8,15.0,37877.12504675388,12700.226750792204,25176.898295961673,25176.898295961673
8662,752.776034290091,1.65,20.0,50502.83339567184,25350.627327502276,25152.206068169566,25152.206068169566
9651,473.1133499308381,0.93,15.0,37877.12504675388,13056.47191805807,24820.653128695805,24820.653128695805
3379,222.557281140962,3.5,14.99,38022.19338277542,14052.82656367861,23969.36681909681,23969.36681909681
2783,659.3078238237442,3.99,14.88,37483.82033250321,14433.498990890417,23050.32134161279,23050.32134161279
8024,114.59034377124934,3.4,14.0,35519.99898619956,13401.90328741647,22118.095698783087,22118.095698783087
3568,3346.6043821449684,0.195,6.0,28404.70555478105,48739.88897625907,-20335.18342147802,20335.18342147802
3596,90.24187609242983,3.0,12.3456789,31314.86261357239,11837.650799890756,19477.211813681635,19477.211813681635
6162,3337.1257006333444,0.179,6.0,27692.39532022996,46876.61523133007,-19184.21991110011,19184.21991110011
4222,200.31319907278248,3.4,14.0,32894.997934843355,14647.02789346166,18247.970041381697,18247.970041381697
8434,10000.0,0.22,5.0,23076.99610019163,41250.62637962119,-18173.630279429563,18173.630279429563
1976,623.7430320160692,1.71,10.0,25251.41669783592,7976.059967196046,17275.356730639876,17275.356730639876
6812,171.37273417995618,2.89,10.0,25365.038947815487,8217.85081307558,17147.188134739907,17147.188134739907
8821,13.87660438553926,4.0,10.5,27885.885009457896,11172.99874945203,16712.886260005864,16712.886260005864
6994,297.2571368492256,2.142,9.6969,24508.683273824627,7970.603420829107,16538.07985299552,16538.07985299552
6551,10000.0,0.268,8.99,25680.971084695124,41248.638320226986,-15567.667235531862,15567.667235531862
6932,423.2471494755081,0.96899,9.9,24998.90253085756,9569.508968239283,15429.393562618276,15429.393562618276
7555,3449.817214800136,0.2,7.0,33019.77840120682,48008.012768508364,-14988.234367301542,14988.234367301542
3591,266.32769754501805,0.149,3.8,17448.63000898766,2481.5693427830847,14967.060666204576,14967.060666204576
5801,474.1264224285335,0.4,5.0,23252.69328877833,8391.731596114309,14860.961692664021,14860.961692664021
6872,114.0040401648982,3.85,11.0,28800.742327447395,14317.308921707217,14483.433405740177,14483.433405740177
8671,87.56449992107775,3.3,10.0,25365.038947815487,11007.646452042049,14357.392495773438,14357.392495773438
2992,89.76428742656344,3.2,10.0,24391.726869591454,10683.32213397474,13708.404735616714,13708.404735616714
2650,28.21342733825153,3.495,8.5,22085.667730114983,8725.834503133068,13359.833226981915,13359.833226981915
7456,10000.0,3.15,25.0,63412.59736953872,50152.907727939375,13259.689641599347,13259.689641599347
4482,10000.0,3.42,23.69,59820.60615717329,46884.61116345505,12935.994993718246,12935.994993718246
7503,10000.0,0.229,8.99,28329.39175649712,41053.09787884715,-12723.706122350028,12723.706122350028
2151,205.79489984572072,8.69,9.969,25173.13730607263,12596.545436545317,12576.591869527312,12576.591869527312
6872,114.0040401648982,4.6,10.0,25365.038947815487,12816.022924657402,12549.016023158085,12549.016023158085
1146,91.38856019731428,1.948275,8.0,20292.0311582524,7746.434898525985,12545.596259726415,12545.596259726415
1835,292.1312924429958,2.75,8.69,22042.218845651656,9811.914437255735,12230.304408395921,12230.304408395921
1247,103.36580438526433,3.4,9.0,23876.38396766821,11897.786188176788,11978.597779491423,11978.597779491423
1668,811.3163925024712,0.14,9.69,34812.50726202844,22909.096331121436,11903.410930907005,11903.410930907005
6078,214.55504442060567,3.5,9.5,24096.78700042472,12213.984604424228,11882.802396000492,11882.802396000492
6618,149.89844494069274,0.235,3.0,13800.34745438912,2089.1839241258604,11711.16353026326,11711.16353026326
5874,30.747420787064133,5.75,9.9,24938.8320760606,13295.264826858194,11643.567249202406,11643.567249202406
7932,92.50046411501488,9.0,9.0,23859.96324468048,12396.313604480534,11463.649640199945,11463.649640199945
1825,10000.0,0.145,10.0,31410.41460589492,42821.42544268349,-11411.01083678857,11411.01083678857
8671,87.56449992107775,4.9,11.99,31786.77325596877,20490.538352763928,11296.23490320484,11296.23490320484
7496,3403.0034762514224,3.0,20.0,61540.86140455486,50360.34799372701,11180.51341082785,11180.51341082785
7261,12.498054619892722,3.4,8.25,20238.94478617992,9422.731790730459,10816.212995449461,10816.212995449461
6994,297.2571368492256,0.8,5.0,15059.422063991591,4273.465760305076,10785.956303686515,10785.956303686515
3942,10000.0,3.1,25.0,63412.59736953872,52746.388972543406,10666.208396995316,10666.208396995316
1247,103.36580438526433,2.75,8.0,20219.80903078273,9673.53824532909,10546.27078545364,10546.27078545364
140,10000.0,0.75,10.69,32893.59042073457,43301.61142740522,-10408.021006670657,10408.021006670657
4800,117.26798606175268,3.25,8.9,21708.6369139364,11455.132046116563,10253.504867819836,10253.504867819836
7543,202.06549085708025,1.09,5.69,14368.056101068638,4120.0788140291625,10247.977287039475,10247.977287039475
3379,222.557281140962,3.33333,8.69,21943.48111041941,11754.774214302739,10188.70689611667,10188.70689611667
6893,776.030593314797,0.285,2.3,10615.418206088149,20669.444403666464,-10054.026197578316,10054.026197578316
2891,20.64867972541284,4.15,8.2,21839.001389694185,11891.07591238359,9947.925477310595,9947.925477310595
9394,166.15011971997816,5.77,10.888,27427.67713577251,17541.94758722304,9885.729548549469,9885.729548549469
9422,23.10263833916376,2.75,7.07,17937.599488030777,8101.510181029192,9836.089307001585,9836.089307001585
8822,11.68052547902666,5.2,9.2,23995.141790869493,14164.962003017275,9830.179787852217,9830.179787852217
3017,28.191810326632524,8.5,7.07,18349.700290626748,8682.06479429148,9667.635496335268,9667.635496335268
1959,292.6085071845619,0.3,2.69,12415.423901903096,2845.7923067939437,9569.631595109153,9569.631595109153
5903,162.94358319064446,5.0,10.0,25190.739470768283,15867.01196778589,9323.727502982394,9323.727502982394
4783,191.2210605461546,4.6,9.6969,24427.20815740929,15283.16356007926,9144.044597330032,9144.044597330032
3481,233.72875098340648,2.32,7.0,17755.52726347084,8619.36759211203,9136.159671358811,9136.159671358811
8821,13.87660438553926,3.123,7.7,19531.079989817925,10474.854036110304,9056.22595370762,9056.22595370762
6015,63.3334520904464,3.48,3.4,9013.763892434848,17961.394993431735,-8947.631100996887,8947.631100996887
5594,100.49713881695354,1.167,6.9,17423.477521506786,8544.453803469782,8879.023718037004,8879.023718037004
9915,215.26444113345408,2.3,7.5,19023.779210861616,10155.385058698846,8868.39415216277,8868.39415216277
4800,117.26798606175268,7.5,12.0,30228.887364921942,21419.207499537908,8809.679865384034,8809.679865384034
1720,173.42449596408372,2.501,6.9,17501.876873992685,8702.090616694166,8799.78625729852,8799.78625729852
2535,13.402640024445896,2.99,7.25,18263.28611630701,9492.799551093,8770.486565214009,8770.486565214009
9809,152.53894440546986,1.89,5.75,14519.564601255654,5796.96947901119,8722.595122244464,8722.595122244464
7377,19.36146442430265,3.09,7.07,16596.415851445483,7977.914595733383,8618.5012557121,8618.5012557121
4206,814.6738958599744,0.3,6.489,29949.325538828696,22007.103103062225,7942.222435766471,7942.222435766471
749,132.4697044990228,3.15,6.25,15796.725805299006,7868.936095644769,7927.7897096542365,7927.7897096542365
7146,804.1222900544192,0.19,3.0,14285.981853357824,21999.89994551355,-7713.918092155725,7713.918092155725
307,21.72408857351722,3.99,6.9,17381.610234830117,9726.639493288096,7654.970741542022,7654.970741542022
7990,128.05574291578455,0.89,0.27,1108.7599958309268,8755.359215576122,-7646.599219745195,7646.599219745195
4305,107.22782379947662,0.79,3.975,11972.240540873316,4336.228040676741,7636.012500196574,7636.012500196574
9860,10000.0,0.278,7.5,34615.49415028744,42202.859239541904,-7587.365089254461,7587.365089254461
1932,184.198129638314,5.0,7.33,18592.57354874875,11069.155205641238,7523.418343107513,7523.418343107513
4206,814.6738958599744,0.85,12.0,30301.700037403105,22853.59231697795,7448.107720425156,7448.107720425156
7409,89.95081557699211,1.1,4.64,11716.657347795866,4380.260200075541,7336.397147720325,7336.397147720325
6958,215.6078751282168,1.95,5.99,15125.598602003716,7879.701265272071,7245.897336731645,7245.897336731645
6746,206.1864868373022,0.8,4.73,11943.92009807639,4707.770312257505,7236.149785818886,7236.149785818886
6207,265.8836554768277,0.197,2.4,10049.605333468791,2813.7615406674713,7235.84379280132,7235.84379280132
7242,736.872849912301,6.0,7.5,30798.888773081297,23638.984856013936,7159.90391706736,7159.90391706736
905,852.082798192815,0.33,12.0,29910.86390956035,22776.104335255164,7134.759574305186,7134.759574305186
1346,57.52614189546088,0.8,0.737,1861.0294106305075,8873.055788168938,-7012.026377538431,7012.026377538431
646,214.33393787066328,0.34,0.75,3461.5494150287445,10308.315917162205,-6846.76650213346,6846.76650213346
3318,55.84009665161719,2.6,4.269,13290.591819207704,6456.069494645502,6834.522324562202,6834.522324562202
324,26.5181982287658,4.5,8.0,20964.998335869608,14131.733429919812,6833.264905949796,6833.264905949796
5323,100.23283782005312,1.23,4.95,12499.45126542878,5723.355450722044,6776.095814706735,6776.095814706735
8253,858.1510060051339,0.25,3.0,13846.197660114978,20585.379687048684,-6739.182026933706,6739.182026933706
1658,182.79229355943687,3.33,6.69,16969.21105608856,10308.735993695444,6660.475062393116,6660.475062393116
3975,764.347449923145,0.397,6.95,27487.291361939253,20846.391674041373,6640.89968789788,6640.89968789788
1459,37.1620877903663,1.6,1.6,4040.2266716537474,10645.423198573464,-6605.196526919717,6605.196526919717
7747,158.01883656383515,4.55,7.42,20187.20573710878,13653.602445815024,6533.603291293755,6533.603291293755
8309,33.13370701331587,1.6,1.6,4040.2266716537474,10567.190151830811,-6526.963480177064,6526.963480177064
9738,348.6788094183351,0.219,0.218,1006.157029968355,7462.887061959786,-6456.73003199143,6456.73003199143
4218,74.89950371260797,2.3,2.2,5580.308568519407,11996.706201555975,-6416.397633036568,6416.397633036568
4875,200.99092785629225,1.49,6.29,15883.141102938793,9549.805435095774,6333.335667843019,6333.335667843019
561,241.25557545939705,1.88,4.2,10605.595013091086,4274.811034814715,6330.783978276371,6330.783978276371
4956,17.46148498068805,3.55,6.5,16710.365363515313,10381.719111826727,6328.646251688586,6328.646251688586
7834,246.02271963717627,0.17,1.8,7424.69620000249,1122.7632664313344,6301.932933571155,6301.932933571155
2478,124.8398472077216,1.75,5.5,13888.279183809756,7719.37153029477,6168.907653514986,6168.907653514986
1079,712.3880974317648,0.216,2.5,11770.1438265768,5617.562516864125,6152.581309712674,6152.581309712674
9840,212.3997586468449,1.92,6.4,16160.906686614988,10011.585081771133,6149.321604843855,6149.321604843855
3677,163.91505570862924,3.85,7.65,20581.69183274416,14435.789365402878,6145.902467341282,6145.902467341282
2828,744.8981255787742,0.229,3.13999,14492.307396928143,20628.93889989365,-6136.631502965505,6136.631502965505
4169,165.80342312993875,3.6,6.59,16600.6973112363,10470.943467431356,6129.753843804945,6129.753843804945
6490,117.35360025121784,0.8,3.5,8837.995844242572,2714.8528923587037,6123.142951883869,6123.142951883869
6932,423.2471494755081,0.052,0.01,40.14202265673721,5926.840141823389,-5886.698119166652,5886.698119166652
