token_id,1of1_rarity,watch_rarity,background_rarity,beard_rarity,chain_rarity,eyes_rarity,hat_over_headphones_rarity,hat_under_headphones_rarity,headphones_rarity,long_hair_rarity,mouth_rarity,shirt_rarity,short_hair_rarity,smoke_rarity,type_rarity
45,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0,0.0103,0.2421,0.0,0.7936,0.0611,0.0,0.3735,0.3958
46,0.0,0.1459,0.2023,0.0,0.0,0.7254,0.0,0.0,0.0732,0.0,0.7936,0.0,0.0348,0.381,0.3958
47,0.0,0.0,0.1956,0.0,0.0,0.0547,0.0,0.0,0.3949,0.0,0.7936,0.0551,0.0074,0.3735,0.5916
48,0.0,0.1006,0.2023,0.0,0.0,0.7254,0.0,0.0208,0.3949,0.0,0.7936,0.0,0.0,0.381,0.3958
49,0.0,0.01,0.2075,0.0,0.0,0.7254,0.0,0.0,0.0732,0.0,0.7936,0.0551,0.0,0.381,0.3958
50,0.0,0.0518,0.1846,0.0,0.0,0.7254,0.0,0.02,0.3949,0.0,0.7936,0.0,0.0,0.3735,0.3958
51,0.0,0.0,0.1956,0.0,0.0,0.0342,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0,0.0,0.5916
52,0.0,0.1006,0.1956,0.0,0.0,0.0613,0.0,0.0,0.0532,0.1839,0.7936,0.0611,0.0,0.381,0.3958
53,0.0,0.1954,0.1974,0.0,0.0,0.0526,0.0,0.02,0.3949,0.0,0.7936,0.0,0.0,0.3735,0.3958
54,0.0,0.1954,0.1974,0.0,0.0,0.7254,0.0,0.0085,0.3949,0.0,0.7936,0.0302,0.0,0.381,0.3958
55,0.0,0.01,0.1956,0.0,0.0,0.7254,0.0,0.0,0.2421,0.0,0.2064,0.0675,0.0,0.381,0.3958
56,0.0,0.0,0.2023,0.1036,0.0,0.7254,0.0,0.0,0.2421,0.0,0.7936,0.0,0.0,0.381,0.3958
57,0.0,0.0761,0.2023,0.0,0.0,0.7254,0.0,0.0,0.0879,0.1839,0.2064,0.0,0.0,0.0,0.3958
58,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0221,0.381,0.5916
59,0.0,0.0555,0.2075,0.0,0.0,0.7254,0.0,0.0,0.2421,0.0,0.7936,0.0611,0.0172,0.381,0.3958
60,0.0,0.01,0.2023,0.0,0.0,0.7254,0.0,0.0104,0.3949,0.0,0.2064,0.0,0.0,0.381,0.5916
61,0.0,0.1954,0.2075,0.0,0.0,0.0,0.0,0.0,0.0879,0.0,0.7936,0.0,0.0,0.381,0.5916
62,0.0,0.0555,0.1974,0.0,0.0,0.0526,0.0,0.0,0.2421,0.0752,0.2064,0.0,0.0,0.0,0.3958
63,0.0,0.0761,0.2023,0.0,0.0395,0.0547,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0,0.381,0.5916
64,0.0,0.1954,0.2023,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0224,0.3735,0.3958
65,0.0,0.1459,0.2023,0.0,0.0,0.7254,0.0,0.0,0.2421,0.0752,0.7936,0.0,0.0,0.381,0.5916
66,0.0,0.1954,0.2023,0.0,0.0,0.0526,0.0,0.0,0.0732,0.1839,0.7936,0.0425,0.0,0.381,0.3958
67,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0,0.0,0.104,0.0752,0.7936,0.0,0.0,0.381,0.3958
68,0.0,0.0518,0.1974,0.0,0.0,0.7254,0.0,0.0097,0.3949,0.0,0.2064,0.0192,0.0,0.3735,0.3958
69,0.0,0.0,0.1974,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0611,0.0221,0.3735,0.5916
70,0.0,0.1954,0.2023,0.0,0.0,0.0526,0.0,0.0,0.0732,0.1839,0.7936,0.0551,0.0,0.381,0.5916
71,0.0,0.1006,0.2075,0.0,0.0,0.0547,0.0,0.0,0.2421,0.0,0.2064,0.0,0.0224,0.0,0.5916
72,0.0,0.1954,0.2023,0.1036,0.0,0.0613,0.0119,0.0,0.0879,0.0,0.2064,0.0,0.0,0.381,0.5916
73,0.0,0.0,0.1974,0.0,0.0,0.0547,0.0,0.0,0.3949,0.0,0.2064,0.0,0.0,0.0,0.3958
74,0.0,0.1006,0.2075,0.0,0.0,0.0293,0.0,0.0,0.0879,0.1839,0.7936,0.0097,0.0,0.3735,0.5916
75,0.0,0.1459,0.1846,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0302,0.0152,0.3735,0.5916
76,0.0,0.01,0.1974,0.0,0.0,0.7254,0.0,0.0,0.2421,0.0,0.2064,0.0565,0.0,0.3735,0.5916
77,0.0,0.1954,0.1956,0.0,0.0,0.7254,0.0,0.0319,0.3949,0.0,0.7936,0.0,0.0,0.3735,0.5916
78,0.0,0.0555,0.1974,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0348,0.381,0.3958
79,0.0,0.1954,0.2023,0.0,0.0,0.7254,0.0,0.0088,0.104,0.0,0.7936,0.0,0.0,0.3735,0.5916
80,0.0,0.032,0.2023,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0611,0.0,0.3735,0.5916
81,0.0,0.1459,0.1956,0.0,0.0,0.7254,0.0,0.0121,0.104,0.0,0.7936,0.0565,0.0,0.3735,0.5916
82,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0,0.0,0.0879,0.0,0.7936,0.0302,0.0,0.381,0.3958
83,0.0,0.1459,0.2023,0.0,0.0,0.7254,0.0,0.0,0.0732,0.0,0.7936,0.0094,0.0,0.0,0.3958
84,0.0,0.1954,0.1846,0.0,0.0,0.7254,0.0,0.0208,0.3949,0.0,0.7936,0.0565,0.0,0.0,0.5916
85,0.0,0.1954,0.2075,0.0,0.0,0.0526,0.0,0.0,0.0879,0.1839,0.7936,0.0,0.0,0.0747,0.5916
86,0.0,0.1006,0.1956,0.0,0.0,0.7254,0.0,0.0319,0.0879,0.0,0.7936,0.0,0.0,0.0,0.3958
87,0.0,0.1954,0.1956,0.0,0.0,0.0547,0.0,0.0,0.104,0.0,0.7936,0.0,0.0,0.3735,0.5916
88,0.0,0.0761,0.1846,0.0,0.0,0.7254,0.0119,0.0,0.0532,0.0,0.2064,0.0215,0.0,0.381,0.3958
89,0.0,0.0325,0.2075,0.0,0.0,0.7254,0.0,0.012,0.0532,0.0,0.7936,0.0,0.0,0.0,0.3958
90,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0,0.0084,0.2421,0.1839,0.7936,0.0,0.0,0.0,0.3958
91,0.0,0.0,0.1974,0.0,0.0,0.0,0.0,0.0,0.2421,0.0,0.7936,0.0361,0.0074,0.381,0.5916
92,0.0,0.1954,0.1974,0.0,0.0,0.7254,0.0,0.0,0.104,0.0,0.7936,0.0675,0.0,0.3735,0.3958
93,0.0,0.0082,0.1974,0.0,0.0,0.0547,0.0,0.0,0.0879,0.0752,0.7936,0.0565,0.0,0.381,0.5916
94,0.0,0.0555,0.2075,0.0,0.0395,0.0526,0.0,0.0,0.2421,0.0,0.7936,0.0,0.0,0.381,0.3958
95,0.0,0.0,0.2023,0.0,0.0,0.7254,0.0,0.0319,0.0879,0.0,0.2064,0.0097,0.0,0.0,0.3958
96,0.0,0.0518,0.2023,0.0,0.0,0.0613,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0224,0.0747,0.5916
97,0.0,0.1459,0.1956,0.0,0.0,0.7254,0.0,0.0041,0.2421,0.1839,0.7936,0.0,0.0,0.3735,0.5916
98,0.0,0.0,0.2023,0.0,0.0,0.7254,0.0,0.0108,0.3949,0.0,0.2064,0.0,0.0,0.3735,0.5916
99,0.0,0.032,0.1956,0.0,0.0,0.7254,0.0,0.0,0.0879,0.1839,0.7936,0.0,0.0,0.381,0.5916
