token_id,1of1_score,watch_score,background_score,beard_score,chain_score,eyes_score,hat_over_headphones_score,hat_under_headphones_score,headphones_score,long_hair_score,mouth_score,shirt_score,short_hair_score,smoke_score,type_score,rarity_score
1,0.0,6.854009595613434,5.417118093174432,0.0,0.0,16.31321370309951,0.0,31.347962382445143,4.130524576621231,0.0,1.2600806451612903,17.699115044247787,0.0,0.0,2.5265285497726127,85.54855259013544
2,0.0,100.0,4.9431537320810675,0.0,0.0,1.3785497656465397,0.0,50.0,9.615384615384615,5.43773790103317,1.2600806451612903,0.0,0.0,2.6246719160104988,2.5265285497726127,177.78610712508979
3,0.0,6.854009595613434,112.35955056179776,9.652509652509652,0.0,112.35955056179776,0.0,243.90243902439022,4.130524576621231,0.0,1.2600806451612903,0.0,0.0,2.6246719160104988,112.35955056179776,605.5028870956995
4,0.0,18.01801801801802,5.065856129685917,0.0,0.0,1.3785497656465397,0.0,0.0,4.130524576621231,0.0,1.2600806451612903,0.0,44.642857142857146,2.677376171352075,1.6903313049357673,78.86359375427799
5,0.0,0.0,4.9431537320810675,0.0,0.0,19.011406844106464,0.0,31.347962382445143,9.615384615384615,5.43773790103317,1.2600806451612903,0.0,0.0,2.677376171352075,1.6903313049357673,75.98343359649961
6,0.0,30.769230769230766,4.9431537320810675,0.0,0.0,29.239766081871345,0.0,0.0,2.532286654849329,0.0,1.2600806451612903,16.366612111292962,50.25125628140703,2.677376171352075,1.6903313049357673,139.73009375218163
7,0.0,9.940357852882704,5.112474437627812,0.0,0.0,1.3785497656465397,0.0,0.0,4.130524576621231,0.0,1.2600806451612903,0.0,135.13513513513513,2.6246719160104988,2.5265285497726127,162.10832287885782
8,0.0,18.01801801801802,4.9431537320810675,0.0,0.0,1.3785497656465397,0.0,0.0,9.615384615384615,5.43773790103317,1.2600806451612903,0.0,0.0,2.6246719160104988,1.6903313049357673,44.967927898270965
9,0.0,5.117707267144319,4.9431537320810675,0.0,0.0,1.3785497656465397,0.0,0.0,2.532286654849329,0.0,1.2600806451612903,14.814814814814813,45.24886877828054,2.677376171352075,2.5265285497726127,80.49936637910258
10,0.0,9.940357852882704,5.417118093174432,9.652509652509652,0.0,1.3785497656465397,0.0,0.0,4.130524576621231,0.0,1.2600806451612903,16.366612111292962,0.0,0.0,1.6903313049357673,49.83608400222458
11,0.0,5.117707267144319,4.9431537320810675,9.652509652509652,0.0,16.31321370309951,68.4931506849315,0.0,2.532286654849329,0.0,1.2600806451612903,16.366612111292962,0.0,2.677376171352075,2.5265285497726127,129.88261917219435
12,0.0,0.0,5.417118093174432,0.0,0.0,1.3785497656465397,0.0,103.09278350515464,9.615384615384615,0.0,1.2600806451612903,0.0,0.0,0.0,2.5265285497726127,123.29044517429413
13,0.0,18.01801801801802,4.819277108433735,0.0,0.0,1.3785497656465397,0.0,48.07692307692308,2.532286654849329,13.297872340425531,1.2600806451612903,16.366612111292962,0.0,0.0,2.5265285497726127,108.2761482705231
14,0.0,6.854009595613434,4.9431537320810675,0.0,0.0,16.31321370309951,0.0,0.0,4.130524576621231,0.0,1.2600806451612903,17.699115044247787,0.0,0.0,1.6903313049357673,52.89042860176009
15,0.0,13.140604467805518,4.9431537320810675,9.652509652509652,0.0,1.3785497656465397,0.0,0.0,2.532286654849329,0.0,1.2600806451612903,0.0,0.0,2.677376171352075,1.6903313049357673,37.27489239434124
16,0.0,6.854009595613434,5.112474437627812,0.0,0.0,19.011406844106464,0.0,48.07692307692308,2.532286654849329,0.0,1.2600806451612903,0.0,0.0,2.6246719160104988,2.5265285497726127,87.99838172006453
17,0.0,19.305019305019304,5.112474437627812,0.0,25.31645569620253,1.3785497656465397,0.0,117.6470588235294,2.532286654849329,0.0,4.844961240310077,0.0,0.0,2.677376171352075,2.5265285497726127,181.3407106443097
18,0.0,9.940357852882704,5.417118093174432,0.0,0.0,1.3785497656465397,0.0,83.33333333333333,2.532286654849329,0.0,1.2600806451612903,14.814814814814813,0.0,2.6246719160104988,1.6903313049357673,122.9915443808087
19,0.0,13.140604467805518,5.417118093174432,0.0,0.0,1.3785497656465397,0.0,0.0,36.496350364963504,0.0,1.2600806451612903,0.0,0.0,0.0,1.6903313049357673,59.383034641687054
20,0.0,6.854009595613434,5.417118093174432,0.0,0.0,1.3785497656465397,0.0,0.0,18.79699248120301,0.0,1.2600806451612903,0.0,0.0,2.6246719160104988,1.6903313049357673,38.02175380174497
21,0.0,5.117707267144319,4.9431537320810675,0.0,0.0,1.3785497656465397,0.0,116.27906976744185,36.496350364963504,5.43773790103317,1.2600806451612903,0.0,0.0,2.677376171352075,1.6903313049357673,175.28035691975958
22,0.0,5.117707267144319,5.112474437627812,0.0,0.0,1.3785497656465397,0.0,0.0,2.532286654849329,0.0,1.2600806451612903,16.366612111292962,0.0,2.6246719160104988,1.6903313049357673,36.08271410266852
23,0.0,6.854009595613434,5.112474437627812,0.0,0.0,1.3785497656465397,0.0,0.0,2.532286654849329,0.0,1.2600806451612903,18.148820326678766,0.0,2.677376171352075,1.6903313049357673,39.65392890186501
