token_id,1/1,4:20 watch,background,beard,chain,eyes,hat over headphones,hat under headphones,headphones,long hair,mouth,shirt,short hair,smoke,type
6195,0,sub red,orange,0,0,regular eyes,0,0,white headphones,0,smile,collared shirt pink,mohawk yellow,cig black,plain mfer
6196,0,sub blue,red,0,0,regular eyes,0,0,white headphones,0,smile,0,0,pipe,plain mfer
6197,0,0,green,0,0,shades,hoodie,0,black headphones,0,smile,0,0,cig black,charcoal mfer
6198,0,sub blue,green,0,0,regular eyes,0,0,white headphones,long hair yellow,flat,collared shirt pink,0,cig white,plain mfer
6199,0,oyster silver,green,0,0,regular eyes,0,0,pink headphones,long hair black,smile,0,0,cig black,charcoal mfer
6200,0,oyster gold,green,0,0,regular eyes,0,0,red headphones,long hair black,smile,0,0,cig white,plain mfer
6201,0,sub red,blue,full beard,0,purple shades,0,knit chicago,pink headphones,0,smile,hoodie down gray,0,cig black,plain mfer
6202,0,sub blue,blue,0,silver chain,regular eyes,0,0,black headphones,0,flat,0,0,cig white,charcoal mfer
6203,0,sub blue,blue,0,0,regular eyes,0,0,gold headphones,0,flat,collared shirt blue,mohawk yellow,cig white,charcoal mfer
6204,0,oyster silver,orange,0,0,nerd glasses,0,0,white headphones,0,smile,0,messy yellow,cig white,charcoal mfer
6205,0,sub black,green,0,0,regular eyes,0,0,pink headphones,0,smile,0,0,cig black,plain mfer
6206,0,sub blue,red,0,0,vr,0,0,black headphones,0,smile,hoodie down white,messy yellow,0,plain mfer
6207,0,sub black,orange,0,0,regular eyes,0,beanie,white headphones,0,smile,0,0,cig black,charcoal mfer
6208,0,0,yellow,0,0,regular eyes,0,bandana blue,black headphones,0,smile,collared shirt white,0,cig white,plain mfer
6209,0,sub rose,yellow,0,0,regular eyes,0,0,green headphones,long hair black,smile,0,0,pipe,plain mfer
6210,0,sub red,orange,0,0,regular eyes,0,0,black headphones,0,smile,hoodie down white,0,cig white,plain mfer
6211,0,sub turquoise,graveyard,0,0,zombie eyes,0,0,black headphones,0,smile,0,0,cig white,zombie mfer
6212,0,oyster gold,yellow,0,0,shades,0,knit chicago,pink headphones,long hair black,smile,hoodie down gray,0,cig black,plain mfer
6213,0,sub red,orange,0,0,regular eyes,0,0,black headphones,0,flat,collared shirt white,0,cig white,charcoal mfer
6214,0,sub turquoise,orange,full beard,0,regular eyes,0,0,black headphones,0,smile,collared shirt turquoise,mohawk yellow,cig white,plain mfer
6215,0,sub bat (blue/black),red,0,gold chain,regular eyes,0,0,black headphones,0,smile,0,0,cig black,plain mfer
6216,0,0,green,0,0,regular eyes,0,0,black headphones,0,smile,hoodie down pink,0,pipe,plain mfer
6217,0,0,red,0,0,vr,0,0,black headphones,0,smile,0,0,cig black,plain mfer
6218,0,0,red,0,0,regular eyes,0,0,white headphones,long hair black,smile,0,0,0,plain mfer
6219,0,sub blue,blue,0,0,3D glasses,0,0,black headphones,0,smile,hoodie down gray,0,0,charcoal mfer
6220,0,sub turquoise,blue,0,0,regular eyes,0,0,white headphones,0,flat,0,0,0,plain mfer
6221,0,sub blue,blue,0,0,regular eyes,0,0,red headphones,0,smile,collared shirt green,0,cig white,plain mfer
6222,0,sub blue,yellow,0,0,shades,hoodie,0,black headphones,0,smile,0,0,cig black,charcoal mfer
6223,0,sub cola (blue/red),blue,0,0,regular eyes,0,0,red headphones,0,smile,0,0,cig black,charcoal mfer
6224,0,sub black,yellow,0,0,regular eyes,0,headband blue/red,pink headphones,0,smile,0,0,cig white,charcoal mfer
6225,0,sub black,blue,0,0,regular eyes,0,bandana dark gray,gold headphones,0,smile,hoodie down gray,0,cig black,plain mfer
6226,0,sub black,red,0,0,regular eyes,0,0,black headphones,0,smile,0,0,cig white,plain mfer
6227,0,sub lantern (green),orange,0,0,regular eyes,0,knit dallas,black headphones,0,smile,collared shirt white,0,cig white,plain mfer
6228,0,sub black,green,0,0,regular eyes,0,0,black headphones,0,smile,hoodie down blue,0,cig black,plain mfer
6229,0,oyster gold,yellow,0,0,regular eyes,0,0,white headphones,0,smile,hoodie down green,0,cig white,plain mfer
6230,0,sub red,green,0,0,purple shades,0,knit san fran,black headphones,0,smile,collared shirt white,0,cig black,plain mfer
6231,0,0,orange,0,0,regular eyes,0,knit new york,green headphones,0,smile,hoodie down white,0,cig white,charcoal mfer
6232,0,sub blue,green,0,0,nerd glasses,0,0,black headphones,0,smile,collared shirt turquoise,0,0,plain mfer
6233,0,oyster gold,red,0,0,regular eyes,0,cap monochrome,white headphones,long hair black,smile,0,0,cig black,charcoal mfer
6234,0,0,orange,full beard,0,regular eyes,0,knit kc,pink headphones,long hair black,smile,hoodie down pink,0,cig white,charcoal mfer
6235,0,0,yellow,0,0,eye mask,0,0,white headphones,long hair black,smile,collared shirt blue,0,0,plain mfer
6236,0,0,red,0,0,nerd glasses,0,0,white headphones,long hair black,smile,collared shirt turquoise,0,0,plain mfer
6237,0,sub black,green,0,0,purple shades,0,0,white headphones,long hair yellow,smile,0,0,0,plain mfer
6238,0,sub lantern (green),orange,0,0,regular eyes,0,0,blue headphones,0,smile,hoodie down gray,mohawk yellow,cig black,charcoal mfer
6239,0,sub black,yellow,0,0,regular eyes,0,0,white headphones,0,smile,0,messy red,0,plain mfer
6240,0,argo black,blue,0,0,regular eyes,0,knit cleveland,green headphones,long hair black,smile,collared shirt turquoise,0,0,plain mfer
6241,0,sub red,orange,0,0,shades,0,0,white headphones,0,flat,collared shirt pink,mohawk blue,cig black,plain mfer
6242,0,sub rose,green,0,0,regular eyes,0,bandana blue,black headphones,long hair yellow,smile,collared shirt green,0,cig black,plain mfer
6243,0,sub blue,yellow,0,0,regular eyes,0,0,green headphones,0,smile,collared shirt green,0,0,charcoal mfer
6244,0,0,blue,0,0,regular eyes,0,0,black headphones,0,smile,hoodie down blue,0,0,charcoal mfer
6245,0,oyster silver,red,0,0,regular eyes,0,0,white headphones,0,smile,0,mohawk black,0,plain mfer
6246,0,0,yellow,0,0,nerd glasses,0,knit san fran,white headphones,0,smile,collared shirt green,0,cig black,charcoal mfer
6247,0,oyster gold,orange,0,0,regular eyes,0,0,white headphones,long hair black,smile,0,0,pipe,charcoal mfer
6248,0,oyster gold,red,0,0,regular eyes,0,0,black headphones,0,smile,0,messy yellow,cig white,plain mfer
6249,0,sub blue,orange,0,0,regular eyes,0,knit chicago,black headphones,0,flat,0,0,cig black,charcoal mfer
6250,0,oyster gold,yellow,0,0,shades,0,0,white headphones,0,smile,collared shirt white,mohawk green,0,plain mfer
6251,0,oyster silver,blue,full beard,0,3D glasses,top hat,0,black headphones,0,smile,collared shirt blue,0,cig black,charcoal mfer
6252,0,sub black,red,0,0,nerd glasses,0,bandana red,white headphones,long hair yellow,flat,0,0,pipe,plain mfer
6253,0,0,green,0,0,regular eyes,0,knit dallas,white headphones,long hair black,smile,0,0,0,charcoal mfer
6254,0,0,blue,0,0,regular eyes,0,bandana dark gray,black headphones,long hair yellow,smile,0,0,0,plain mfer
6255,0,argo black,yellow,0,0,regular eyes,0,0,pink headphones,long hair black,smile,hoodie down blue,0,cig black,plain mfer
6256,0,sub blue,red,0,0,regular eyes,0,knit new york,black headphones,0,smile,0,0,0,charcoal mfer
6257,0,sub black,red,0,0,regular eyes,0,0,white headphones,long hair yellow,smile,hoodie down gray,0,cig white,plain mfer
6258,0,oyster silver,orange,0,0,regular eyes,0,headband green/white,black headphones,0,smile,0,0,cig white,plain mfer
6259,0,sub rose,blue,0,0,regular eyes,0,0,black headphones,0,smile,collared shirt pink,0,cig white,charcoal mfer
6260,0,sub red,yellow,0,0,nerd glasses,0,0,white headphones,0,smile,0,0,cig white,plain mfer
6261,0,oyster silver,red,0,0,regular eyes,0,0,green headphones,0,flat,collared shirt blue,mohawk purple,cig white,plain mfer
